Name,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925
Fordham,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,None,None,Ind,Ind,Ind,Ind,Ind,Ind,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,None,None,Ind,Ind,Ind,Ind,Ind,None,Ind,None,Ind,Ind,Ind,Ind,Ind,Ind
Lake Forest,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,None,None,None,IIAC,IIAC,IIAC,IIAC
Minnesota,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,None,None,Ind,Ind,Ind,Ind,Ind,Ind,IAAN,IAAN,Ind,Ind,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10,BIG 10
Johns Hopkins,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,SAIAA,SAIAA,SAIAA,SAIAA,SAIAA,SAIAA,SAIAA,SAIAA,SAIAA,None,None,None,None,None
Lafayette,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind
Gallaudet,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,None,None,None,None,Ind,None,None,None,None,None,None,None,None,MIFA,None,None,None,Ind,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Carleton,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,None,None,None,None,MIAC,MIAC,MIAC/MWC,MIAC/MWC,MIAC/MWC,MWC
Williams,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,NEIFA,NEIFA,Ind,NEIFA,NEIFA,NEIFA,NEIFA,NEIFA,NEIFA,NEIFA,NEIFA,NEIFA,NEIFA,NEIFA,NEIFA,NEIFA,NEIFA,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,None,Ind,None,Ind,Ind,None,None,None,None,None
Hamline,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,MIAC,MIAC,MIAC/MWC,MIAC/MWC,MIAC/MWC,MIAC/MWC
Wabash,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,None,Ind,Ind,None,Ind,None,IIAA,IIAA,IIAA,IIAA,Ind,Ind,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,ICAL,Ind,Ind,IIAL,Ind,Ind,Ind,IIC,IIC,None
